ID,t0,t48
220951_s_at,0.298782095,0.360427131
221217_s_at,0.209085599,0.184383252
217757_at,0.262277436,0.214162757
205434_s_at,0.59922329,0.667472137
205435_s_at,0.223007727,0.284160813
206776_x_at,0.188569154,0.25877668
207969_x_at,0.236050199,0.251874944
207973_x_at,0.182524952,0.245667603
207990_x_at,0.1614507,0.21386607
207991_x_at,0.194543624,0.288727318
208095_s_at,1.057872386,0.711422999
208800_at,0.50040413,0.476906886
208801_at,1.624691275,1.117890996
208802_at,0.187266611,0.258060193
208803_s_at,0.453811666,0.432202559
201273_s_at,2.850402398,1.926229389
202199_s_at,0.217813549,0.515405386
202200_s_at,0.219785117,1.07607566
203181_x_at,0.26410172,0.182223322
203182_s_at,0.374792919,0.235660116
214931_s_at,0.210102554,0.184255491
200917_s_at,0.359027337,0.472301335
200918_s_at,1.476483877,1.891826152
218140_x_at,0.366317265,0.200514646
219205_at,0.185586748,0.171202956
213608_s_at,0.270962593,0.281416636
201224_s_at,0.449429149,0.353499363
201225_s_at,1.002891548,0.804843128
207435_s_at,0.679321115,1.182450278
208610_s_at,0.405610134,0.166406019
202816_s_at,0.398365773,0.396881307
202817_s_at,0.280907218,0.317049393
209954_x_at,0.299819392,0.346224451
213140_s_at,0.177042251,0.311386762
218283_at,0.433819137,0.428325513
201138_s_at,0.977497964,0.332350981
201139_s_at,1.154417922,0.359180148
202591_s_at,1.805208657,0.871625023
214060_at,0.240509469,0.207729717
203787_at,0.135012567,0.166060347
210829_s_at,0.151476469,0.214014362
217991_x_at,0.323349347,0.184767065
202506_at,0.6130878,0.727883527
221752_at,1.352066023,2.100568043
221753_at,1.213492845,0.45086878
219241_x_at,0.156709615,0.264580661
210378_s_at,0.382137992,0.315077692
200889_s_at,1.640534123,0.959782571
200890_s_at,0.791228118,0.411447288
200891_s_at,4.02549334,1.778646144